iter	Passed	Remaining
0	0	49
1	1	49
2	1	50
3	1	45
4	2	44
5	2	43
6	3	42
7	3	41
8	3	40
9	4	39
10	4	38
11	5	38
12	5	37
13	6	36
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	34
20	8	33
21	9	33
22	9	33
23	10	33
24	11	33
25	11	33
26	12	32
27	12	32
28	13	32
29	13	31
30	14	31
31	14	31
32	15	30
33	15	30
34	16	30
35	16	29
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	26
42	20	26
43	20	26
44	21	25
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	22
54	26	21
55	26	20
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
